,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,603999,读者传媒,-5.155,5.52,5.77,5.8,5.5,5.82,3848120,0.66808,21659339,78.857,1.889,317952.0,317952.0
1,603998,方盛制药,-9.138,8.75,9.55,9.77,8.68,9.63,28917826,6.80105,265432159,51.471,3.544,382044.88,372047.13
2,603997,继峰股份,-4.602,8.5,9.03,9.03,8.21,8.91,6480600,1.02562,55514596,17.831,2.812,543501.22,537090.2225
3,603996,中新科技,-5.512,7.2,7.58,7.68,7.12,7.62,6322225,2.10636,46719218,-27.692,1.599,216108.0,216108.0
4,603993,洛阳钼业,-3.21,3.92,4.06,4.07,3.9,4.05,86683571,0.49069,343270458,18.233,2.077,8466902.30854,6924982.85254
5,603991,至正股份,-6.776,18.16,19.48,19.65,18.01,19.48,824300,2.00663,15575425,35.608,2.731,135355.556368,74599.315088
6,603990,麦迪科技,-2.788,41.5,42.99,43.15,41.03,42.69,531747,0.88225,22196856,60.145,7.146,334634.5445,250128.8
7,603989,艾华集团,-2.962,18.02,18.59,18.65,17.88,18.57,1343539,0.3445,24452767,23.403,3.6,702783.647248,702783.647248
8,603988,中电电机,-7.237,12.69,13.4,13.52,12.38,13.68,11795122,5.01493,154158130,60.429,4.316,298468.8,298468.8
9,603987,康德莱,-2.156,7.26,7.51,7.54,7.24,7.42,2099610,0.80462,15452299,22.0,2.282,320608.134,189445.06812
10,603986,兆易创新,-1.842,78.32,82.04,84.5,77.98,79.79,7321049,3.52997,598199288,54.389,11.158,2231293.63002,1624334.70593
11,603985,恒润股份,-4.295,22.06,23.05,23.05,21.99,23.05,854600,1.28395,19144743,16.613,2.04,229424.0,146831.36
12,603980,吉华集团,-2.514,15.51,15.91,15.98,15.48,15.91,4732600,1.92669,74146389,11.031,1.728,775500.0,380976.919488
13,603979,金诚信,-6.667,8.12,8.75,8.76,8.12,8.7,5884478,1.00864,49438645,16.24,1.159,473727.646784,473727.646784
14,603978,深圳新星,-3.885,20.04,20.88,20.88,19.64,20.85,1682618,2.21043,34214888,25.692,2.246,320640.0,152547.84672
