,date,MACD_d,open,close,high,low,volume,ema_slow,ema_quick,DEM,DIFF,MACD,code,diff
0,2016-09-27,0.0,10375.35,10476.97,10476.97,10352.02,148382851.0,10487.44697,10476.97,-10.47697,-10.47697,-1.9930773843,sz,-10.47697
1,2016-09-28,17.5041268202,10490.04,10467.16,10492.93,10436.12,128838324.0,10476.2433333,10475.4607692,-8.53808882051,-0.782564102563,15.5110494359,sz,-0.782564102563
2,2016-09-29,1.68614397359,10477.04,10512.25,10553.01,10477.04,137601784.0,10478.9104938,10481.1206509,-6.38843964433,2.21015706042,17.1971934095,sz,2.21015706042
3,2016-09-30,7.33388412871,10504.29,10567.58,10590.37,10499.47,128139198.0,10485.4786054,10494.4220892,-3.32205495205,8.94348381705,24.5310775382,sz,8.94348381705
4,2016-10-10,25.593936847,10612.21,10741.69,10741.69,10584.7,185281398.0,10504.4572272,10532.4633063,2.9435718461,28.0060790387,50.1250143852,sz,28.0060790387
5,2016-10-11,18.5450227403,10743.41,10782.31,10782.31,10727.45,194247878.0,10525.0389141,10570.9012591,11.5273264868,45.8623450495,68.6700371255,sz,45.8623450495
6,2016-10-12,8.61522914598,10751.43,10788.59,10792.12,10733.31,182306704.0,10544.5612168,10604.3918347,21.1879847707,59.8306179065,77.2852662715,sz,59.8306179065
7,2016-10-13,0.821704872329,10784.74,10787.49,10818.04,10757.49,188185774.0,10562.5559414,10632.5607832,30.9513561637,70.0048417356,78.1069711438,sz,70.0048417356
8,2016-10-14,-7.69336147174,10774.37,10759.68,10774.37,10692.07,178955421.0,10577.1577236,10652.1175858,39.7530573727,74.9598622088,70.4136096721,sz,74.9598622088
9,2016-10-17,-23.0456795126,10770.34,10651.5,10783.67,10624.82,191944732.0,10582.6645588,10652.0225726,45.6740486426,69.3580137224,47.3679301594,sz,69.3580137224
10,2016-10-18,0.812999091092,10637.69,10797.02,10797.02,10637.69,191065156.0,10598.5427397,10674.3298691,51.696664799,75.7871294242,48.1809292505,sz,75.7871294242
11,2016-10-19,-7.94931040708,10811.27,10757.92,10824.41,10733.69,201237047.0,10610.3484627,10687.1898892,56.7256171544,76.8414265761,40.2316188435,sz,76.8414265761
12,2016-10-20,-4.7549459432,10763.46,10784.33,10802.66,10752.92,195500610.0,10623.2359839,10702.1345217,61.1602012669,78.8985377171,35.4766729003,sz,78.8985377171
13,2016-10-21,-10.4773452336,10783.56,10748.9,10802.54,10678.12,200917345.0,10632.5444296,10709.3292106,64.2851172253,76.7847810586,24.9993276667,sz,76.7847810586
14,2016-10-24,2.91488224874,10755.49,10842.64,10871.16,10740.18,210372712.0,10648.1070644,10729.8385628,67.7743934647,81.7314984224,27.9142099155,sz,81.7314984224
15,2016-10-25,2.81146585215,10846.76,10871.5,10871.66,10841.2,206162612.0,10664.6546893,10751.6326301,71.6151029357,86.9779408195,30.7256757676,sz,86.9779408195
16,2016-10-26,-8.04535215225,10871.24,10817.51,10871.24,10793.63,218186117.0,10675.9773049,10761.7676101,74.4501433876,85.7903051952,22.6803236154,sz,85.7903051952
17,2016-10-27,-11.2318186487,10805.8,10788.97,10808.14,10745.28,178155812.0,10684.3471342,10765.9525931,75.8812065084,81.6054589917,11.4485049666,sz,81.6054589917
18,2016-10-28,-18.9702459138,10783.28,10711.04,10836.77,10710.93,192463069.0,10686.3243835,10757.5045019,74.94098889,71.1801184164,-7.52174094719,sz,71.1801184164
19,2016-10-31,-13.7225880242,10685.36,10704.3,10719.04,10630.3,164562202.0,10687.6559106,10749.3191939,72.2854477686,61.6632832829,-21.2443289714,sz,61.6632832829
20,2016-11-01,2.91661373795,10714.82,10796.14,10797.06,10706.87,177627271.0,10695.6917691,10756.5223948,69.9944833644,60.8306257476,-18.3277152335,sz,60.8306257476
21,2016-11-02,-11.6963866407,10771.35,10692.65,10785.11,10686.94,208026614.0,10695.4664529,10746.6958726,66.2414706301,51.229419693,-30.0241018742,sz,51.229419693
22,2016-11-03,-0.416008542737,10662.16,10743.96,10804.26,10655.14,233632510.0,10699.0585675,10746.2749691,62.436456828,47.2164016195,-30.4401104169,sz,47.2164016195
23,2016-11-04,-5.0862939357,10737.91,10702.57,10784.84,10684.47,204276926.0,10699.3186736,10739.5511277,57.9956562839,40.2324541076,-35.5264043526,sz,40.2324541076
24,2016-11-07,-3.32633340736,10704.26,10695.18,10729.99,10663.56,205824951.0,10699.0121052,10732.7248004,53.1390640639,33.7126951839,-38.85273776,sz,33.7126951839
25,2016-11-08,7.65574648192,10734.07,10763.13,10785.88,10722.36,200168038.0,10703.7615789,10737.4025234,49.2394401542,33.6409445151,-31.1969912781,sz,33.6409445151
26,2016-11-09,-2.8904260725,10768.86,10697.11,10785.09,10575.16,246924730.0,10703.2688693,10731.2036736,44.9785129853,27.9348043101,-34.0874173506,sz,27.9348043101
27,2016-11-10,15.0521147014,10777.1,10821.66,10848.98,10777.1,242295173.0,10712.0385827,10745.1200315,42.5991001542,33.0814488296,-19.0353026492,sz,33.0814488296
28,2016-11-11,16.8643434817,10823.93,10878.14,10878.14,10792.83,281999653.0,10724.3423914,10765.5846421,42.3277302583,41.2422506745,-2.17095916748,sz,41.2422506745
29,2016-11-14,13.6634636496,10855.98,10907.53,10952.61,10847.82,285351576.0,10737.9118439,10787.4223894,43.7642933185,49.5105455596,11.4925044821,sz,49.5105455596
30,2016-11-15,13.6180753367,10910.15,10958.1,10958.1,10877.4,240766643.0,10754.2220777,10813.6804834,46.9031157959,59.4584057053,25.1105798188,sz,59.4584057053
31,2016-11-16,7.63779477015,10970.7,10968.08,10998.92,10956.87,250475998.0,10770.0634052,10837.4342552,50.9966626195,67.370849914,32.748374589,sz,67.370849914
32,2016-11-17,-0.751572318429,10942.1,10945.42,10961.8,10887.51,212322310.0,10783.0527826,10854.0474467,54.9962629033,70.9946640386,31.9968022705,sz,70.9946640386
33,2016-11-18,-10.3383223772,10946.88,10889.11,10963.66,10876.91,198971205.0,10790.9088728,10859.4416856,57.70357289,68.5328128366,21.6584798933,sz,68.5328128366
34,2016-11-21,-7.28764051148,10877.08,10899.92,10955.44,10861.81,201748812.0,10798.9837711,10865.6691186,59.4999278127,66.6853475036,14.3708393818,sz,66.6853475036
35,2016-11-22,4.52980086852,10910.42,10985.6,10985.6,10910.42,224188412.0,10812.8071955,10884.1200235,61.862507844,71.3128279692,18.9006402503,sz,71.3128279692
36,2016-11-23,-0.785685583286,11011.0,10973.8,11041.52,10952.0,244814755.0,10824.7325884,10897.9169429,64.1268771774,73.1843545109,18.114954667,sz,73.1843545109
37,2016-11-24,-3.41926498043,10960.64,10967.47,11030.12,10947.27,227850065.0,10835.30573,10908.6174132,65.9638383882,73.3116832315,14.6956896866,sz,73.3116832315
38,2016-11-25,4.69823489569,10966.36,11036.53,11036.53,10830.4,220609305.0,10850.2112315,10928.2962727,68.388078961,78.0850412521,19.3939245823,sz,78.0850412521
