,code,name,change,open,preclose,close,high,low,volume,amount
0,000001,上证指数,-2.48,2955.7669,2955.711,2882.2962,2956.7832,2873.7998,266301643,2478.7518
1,000002,Ａ股指数,-2.49,3095.6697,3095.6099,3018.6753,3096.7316,3009.7521,266070791,2477.2365
2,000003,Ｂ股指数,-1.96,298.5021,298.5393,292.6845,298.8999,292.4476,230852,1.5153
3,000008,综合指数,-1.86,2814.608,2812.2321,2759.9685,2816.5793,2751.8669,61208090,547.24
4,000009,上证380,-3.11,4714.0239,4711.5771,4565.0364,4716.233,4548.3644,64142119,605.8379
5,000010,上证180,-2.38,8302.5295,8300.3518,8102.9913,8304.2207,8081.8763,79582002,927.9047
6,000011,基金指数,-1.47,6063.8163,6063.4746,5974.36,6066.746,5962.7198,52127292,255.4258
7,000012,国债指数,0.01,172.3584,172.344,172.3578,172.3614,172.3441,137202,1.3179
8,000016,上证50,-2.01,2792.0771,2791.4146,2735.2124,2792.5061,2728.9346,30072063,428.8149
9,000017,新综指,-2.49,2496.0059,2495.9569,2433.9321,2496.8625,2426.7374,262725843,2421.4576
10,000300,沪深300,-2.54,3744.8751,3743.9635,3648.7609,3745.3555,3637.5826,128453245,1540.9235
11,000905,中证500,-3.25,5112.2411,5108.3588,4942.5792,5116.9934,4923.6727,119071213,1039.3111
12,399001,深证成指,-3.15,9299.463,9293.324,9000.188,9303.054,8964.369,34917116527,3258.4244
13,399002,深成指R,-3.14,11266.224,11257.118,10903.655,11270.574,10860.261,13581985836,1514.7973
14,399003,成份Ｂ指,-1.78,4997.631,4997.631,4908.424,4997.631,4899.051,6629883,0.3304
15,399004,深证100R,-2.94,5057.129,5053.876,4905.353,5059.371,4884.442,4543948183,672.6423
16,399005,中小板指,-2.92,5726.136,5713.283,5546.333,5741.949,5526.285,3014492493,391.4933
17,399006,创业板指,-3.58,1537.446,1533.67,1478.748,1537.446,1472.458,8584956296,938.2392
18,399008,中小300,-3.13,1138.897,1137.71,1102.152,1141.014,1097.935,7293683282,738.2072
19,399100,新 指 数,-3.21,7289.174,7284.125,7050.115,7293.484,7019.308,33386980170,3206.8617
20,399101,中小板综,-3.12,9035.994,9029.066,8747.114,9046.503,8708.618,15701951651,1398.6967
21,399106,深证综指,-3.26,1585.78,1584.815,1533.22,1586.654,1526.743,34917116527,3258.4244
22,399107,深证Ａ指,-3.26,1658.465,1657.45,1603.419,1659.385,1596.635,34889841541,3257.4648
23,399108,深证Ｂ指,-1.78,968.251,968.626,951.366,968.251,949.196,27274986,0.9596
24,399333,中小板R,-2.91,6374.423,6359.557,6174.266,6392.027,6151.947,3014492493,391.4933
25,399606,创业板R,-3.58,1612.437,1608.464,1550.875,1612.437,1544.278,1931565014,266.8026
